Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,AdjClose,DeltaAdjClose2,SigmaAdjClose2,DeltaAdjClose4,SigmaAdjClose4,DeltaAdjClose7,SigmaAdjClose7,DeltaAdjClose14,SigmaAdjClose14,DeltaAdjClose30,SigmaAdjClose30,logVolume,DiffOverDay,DaysFromStart,ArticleCount2,ArticleCount4,ArticleCount7,ArticleCount14,ArticleCount30
2020-01-02 05:00:00+00:00,67.42050170898438,68.43399810791016,67.32450103759766,68.43399810791016,27278000,0.0,0.0,68.43399810791016,0.0,,0.0,,0.0,,0.0,,0.0,,7.4358125250458365,1.0134963989257812,0,0.0,0.0,0.0,3.0,6.0
2020-01-03 05:00:00+00:00,67.4000015258789,68.6875,67.36599731445312,68.07599639892578,23408000,0.0,0.0,68.07599639892578,-0.358001708984375,0.2531454360992245,-0.358001708984375,0.2531454360992245,-0.358001708984375,0.2531454360992245,-0.358001708984375,0.2531454360992245,-0.358001708984375,0.2531454360992245,7.369364308781235,0.675994873046875,1,0.0,0.0,0.0,4.0,6.0
2020-01-06 05:00:00+00:00,67.58149719238281,69.91600036621094,67.55000305175781,69.8905029296875,46768000,0.0,0.0,69.8905029296875,0.0,,1.8145065307617188,1.2830498724088881,1.4565048217773438,0.9610762603866988,1.4565048217773438,0.9610762603866988,1.4565048217773438,0.9610762603866988,7.669948798013361,2.3090057373046875,4,0.0,0.0,2.0,4.0,9.0
2020-01-07 05:00:00+00:00,70.02300262451172,70.17500305175781,69.5780029296875,69.75550079345703,34330000,0.0,0.0,69.75550079345703,-0.13500213623046875,0.09546092600323455,-0.13500213623046875,0.09546092600323455,1.321502685546875,0.918664583585754,1.321502685546875,0.918664583585754,1.321502685546875,0.918664583585754,7.53567380342575,-0.2675018310546875,5,0.0,2.0,3.0,4.0,9.0
2020-01-08 05:00:00+00:00,69.74099731445312,70.59249877929688,69.63150024414062,70.25199890136719,35314000,0.0,0.0,70.25199890136719,0.49649810791015625,0.3510771789495617,0.3614959716796875,0.25671491499515003,1.8180007934570312,0.9629288366737716,1.8180007934570312,0.9629288366737716,1.8180007934570312,0.9629288366737716,7.547946912678907,0.5110015869140625,6,0.0,2.0,3.0,4.0,10.0
2020-01-09 05:00:00+00:00,71.09649658203125,71.43399810791016,70.510498046875,70.989501953125,33200000,0.0,0.0,70.989501953125,0.7375030517578125,0.5214934090437225,1.0989990234375,0.5530132421874706,2.9135055541992188,1.0725333146066807,2.5555038452148438,1.1081248707335303,2.5555038452148438,1.1081248707335303,7.521138083704036,-0.10699462890625,7,2.0,2.0,3.0,4.0,10.0
2020-01-10 05:00:00+00:00,71.47350311279297,71.74700164794922,70.9800033569336,71.447998046875,26258000,0.0,0.0,71.447998046875,0.45849609375,0.32420569703816804,1.6924972534179688,0.7537881865086052,1.5574951171875,0.7280403275006747,3.0139999389648438,1.2365830728735268,3.0139999389648438,1.2365830728735268,7.419261643991009,-0.02550506591796875,8,2.0,3.0,4.0,4.0,10.0
2020-01-13 05:00:00+00:00,71.76249694824219,72.0739974975586,71.26850128173828,72.00150299072266,30730000,0.0,0.0,72.00150299072266,0.0,,0.5535049438476562,0.3913870992149711,2.246002197265625,0.9015032948690452,3.5675048828125,1.3774497776526982,3.5675048828125,1.3774497776526982,7.487562560256378,0.23900604248046875,11,1.0,2.0,2.0,3.0,9.0
2020-01-14 05:00:00+00:00,72.0,72.13150024414062,71.38849639892578,71.52950286865234,26076000,0.0,0.0,71.52950286865234,-0.4720001220703125,0.33375448703679617,-0.4720001220703125,0.3337544870368128,1.2775039672851562,0.6606385654589146,3.0955047607421875,1.3730941700471497,3.0955047607421875,1.3730941700471497,7.41624097236815,-0.47049713134765625,12,0.0,1.0,1.0,2.0,8.0
2020-01-15 05:00:00+00:00,71.6510009765625,72.03900146484375,71.58300018310547,71.95999908447266,21550000,0.0,0.0,71.95999908447266,0.4304962158203125,0.3044067934816905,-0.04150390625,0.2613534265141247,0.9704971313476562,0.4155008990031559,3.5260009765625,1.4012574429208104,3.5260009765625,1.4012574429208104,7.33344727449675,0.30899810791015625,13,1.0,1.0,1.0,2.0,8.0
